"question","answers"
"Đồng xu nào, kể từ năm 1982, hiện chủ yếu được làm bằng kẽm?","đồng xu"
"Nhân Chứng Giê-hô-va làm gì để duy trì họ muốn bảo vệ?","trẻ em"
"Một động cơ mô-men xoắn ở điện áp thấp cung cấp những gì?","tương đối nhẹ"
"Trong khu vực đô thị New Haven có một công ty Fortune 1000 đặt tại Orange, tên của công ty?","Hubbell"
"Ai có nhiều quyền lực hơn trong thời gian chiến tranh so với raadspensionaris?","stadtholder"
"Bảo tàng New York nằm ở đâu?","Đại lộ thứ năm"
"Cuộc diễu hành diễn ra bao nhiêu giờ một ngày?","18"
"Nhà cung cấp điện của Richmond là ai?","Dominion Virginia Power"
"Simon Cowell đã ra mắt chương trình gì vào năm 2011 sau khi rời American Idol?","The X Factor"
"Ngày phát hành khi nhóm siêu anh hùng này ra mắt là gì?","tháng 11 năm 1961"
"Phần nào của Tennessee đã bầu chọn thêm đảng Cộng hoà trong những năm sau Nội chiến?","phía đông"
"Điều gì đôi khi được sử dụng để kiểm tra tính chính xác của bản dịch?","So sánh bản dịch ngược với văn bản gốc"
"Những người rửa tội làm phép rửa nào?","ngâm hoàn toàn"
"Alsace đã phát triển dưới sự cai trị của ai?","Hohenstaufen hoàng đế"
"Bộ phim ""Phiên bản đặc biệt"" đầu tiên được phát hành cho video gia đình là gì?","phiên bản Bộ sưu tập Tiêu chí 1984 của Citizen Kane"
"Đồng đô la Mỹ đã mất bao nhiêu giá trị trong khoảng thời gian từ năm 1965 đến năm 1981?","hai phần ba"
"Trường hợp ống tương ứng?","1 đến 1 với các điểm cuối"
"Những chính sách nào được Andorrans thi hành?","chính sách Andorranization"
"HMNB Davenport nằm ở giáo xứ nào?","Stoke Damerel"
"Tên của dự án để tạo ra một cơ sở dữ liệu địa lý là gì?","INGRES"
"Mùa đầy đủ đầu tiên của American Idol được phát sóng với độ phân giải cao là gì?","Phần bốn"
"Điều gì đã thay đổi khi khái niệm được mở rộng?","để bao gồm những người trẻ tuổi"
"Nơi nào có thể tìm thấy một ngôi đền của đức tin Jain?","Gyaneshwar"
"Thực thể nào hỗ trợ và điều hành hệ thống đường sắt của Bồ Đào Nha?","Comboios de Bồ Đào Nha"
"Ai được bồi thường dựa trên khối lượng tài sản của khách hàng mà họ có dưới sự quản lý?","Các nhà quản lý đầu tư chuyên nghiệp"
"Ai nghĩ rằng Quá trình và Hiện thực ít đọc vì người đọc phải tách chúng ra khỏi suy nghĩ bình thường?","Isabelle Stengers"
"Chính phủ Áo đã bí mật quyết định chiến tranh với Pháp vào ngày nào?","8 tháng 2 năm 1809"
"Làm thế nào lớn Cơ quan đơn nhất của Plymouth trong dặm vuông là gì?","30,83"
"Phiên bản Genesis của Mortal Kombat đã bán hết phiên bản SNES bao nhiêu?","ba hoặc bốn trên một"
"Những bệnh viện nào hợp tác với Trường Y thuộc Đại học Washington?","Bệnh viện St. Louis và Bệnh viện Do Thái Barnes"
"Ai đã viếng thăm Núi Đền?","Ariel Sharon"
"Các lý do cho chế độ lên đỉnh vào đầu ngày là gì?","mọi người đến làm việc hoặc tại kết luận về thời gian ăn trưa"
"Bí, đậu và ớt đều là những ví dụ về loại cây trồng nào?","đáng kể"
"Chức danh chính thức của giáo hoàng là gì?","Giáo hoàng tối cao"
"Thủ đô và thành phố lớn nhất ở Massachusetts là gì?","Boston"
"WHO khuyên gì?","một đứa trẻ bị tiêu chảy tiếp tục được cho ăn"
"Loại đầu máy nào được cải thiện trong thời gian 1950-1973 ở Liên Xô?","điện"
"Đĩa đơn mới của Beyonce được phát hành trước khi siêu bát được gọi là gì?","Formation"
"Tên khác của Ibn Tufail là gì?","Abubacer"
"Phương pháp là một phần của phong trào gì?","Tin Lành"
"cái đinh trong quan tài cho những kẻ bất hợp pháp là gì?","Bộ lạc xoắn ốc tại Castle Morten"
"Điều gì mang lại sự lạc hậu trong tiếng trống đá cứng?","snare"
"Sự khác biệt của sự phân ly lượng tử từ cổ điển là gì?","có thể đúng ngay cả khi cả hai phân tích đều sai"
"Tên của album solo đầu tiên của Beyoncé là gì?","Nguy hiểm trong tình yêu"
"Ward xem mục đích tương tác giữa các đơn vị là gì?","tự cải thiện lẫn nhau"
"Các cuộc đàm phán với Áo do anh trai của Napoleon dẫn đầu diễn ra ở đâu?","Lunéville"
"Nam Kinh đã được coi là trung tâm giáo dục của miền nam Trung Quốc bao lâu rồi?","hơn 1700 năm"
"CCA giúp bảo vệ chủ đất tư nhân như thế nào?","nếu trong tương lai các loài chưa niêm yết sẽ được liệt kê, chủ sở hữu đất sẽ không phải làm nhiều hơn đã thoả thuận trong CCA."
"Ai đã cố gắng tìm hiểu làm thế nào Rome thống trị phía đông Hy Lạp?","Polybius"
"Có bao nhiêu câu lạc bộ ủng hộ bên ngoài nước Anh trong năm 2007 liên kết với Arsenal?","49"
"Bao nhiêu phần trăm của Armenia nói tiếng Nga?","30%"
"Điều gì mang lại sự bảo vệ tự nhiên cho các con tàu ở Montevideo?","Cảng trên Vịnh Montevideo"
"Đảng nào chống chế độ nô lệ?","Đảng Dân chủ"
"Forbes.com đặt Notre Dame ở vị trí nào so với các trường đại học nghiên cứu khác của Hoa Kỳ?","8"
"Những cánh tay quân sự nào mà người Visigoth có số lượng lớn?","kỵ binh"
"Những loại câu chuyện đã được kiểm duyệt trên các phương tiện truyền thông?","trường học được xây dựng kém"
"Các luật sư cho các bị cáo đe doạ làm gì?","đưa ra quyết định xem xét lại tư pháp"
"Ai làm việc theo phong cách khắc một con dấu truyền thống trong kịch bản?","thư pháp"
"Khi nào tập cuối cùng của Gaddafi về Lý thuyết quốc tế thứ ba được xuất bản?","1979"
"Nhà lý luận nào được biết đến với niềm tin về sự tiến hoá?","Darwin"
"Tại sao các đế chế và vương quốc của châu Âu được phái đi?","của Cộng hoà"
"Nhân viên GE đã phát triển đèn LED quang phổ nhìn thấy được?","Nick Holonyak, Jr."
"Ngoài ngành xây dựng, nhóm nào khác là một trong những người phạm tội chính chống lại luật cơ hội bình đẳng?","liên hiệp thủ công"
"Nhà máy đánh cá mới đã sẵn sàng để sử dụng khi nào?","tháng 7 năm 2009"
"Nguyên nhân gây dậy thì?","sự gia tăng sản xuất hormone"
"Đạo luật Westminster đã làm gì?","trao chủ quyền hoàn toàn cho Vương quốc Anh"
"Nữ thần bảo trợ của Lycia là ai?","Leto"
"Hành động đầu tiên đột phá ở Anh, không phải từ Liverpool hay được quản lý bởi Brian Epstein là gì?","Freddie và những kẻ mộng mơ"
"Những danh từ nào Séc sử dụng trường hợp buộc tội để đánh dấu?","đối tượng"
"Aeneas đã cố gắng đạt được điều gì trong Aeneid?","hoàn thành định mệnh của mình và đến bờ biển Ý"
"Khu vực nào mà Khazars cai trị?","Biển Đen"
"Phản ứng của mẹ Madonna khi cô đặt câu hỏi về căn bệnh của mình là gì?","khóc"
"Sân vận động của Levante UD là gì?","Estadi Ciutat de València"
"Định nghĩa của dòng điện I (t) thông qua bất kỳ thành phần nào trong mạch điện là gì?","tốc độ dòng điện của một điện tích Q (t) đi qua nó"
"Ai quyết định đặt nhóm của Beyonce trong chương trình Tìm kiếm tài năng?","Arne Frager"
"Một Grand Vizar bắt đầu được bổ nhiệm vào năm nào?","1320"
"Ai đã viết War on the floor: Một chàng trai trung bình chơi trong Arena Football League và sống để viết về nó?","Jeff Foley"
"Những gì các nhà huyền môn Dominican Anh không yêu cầu trong công việc của họ?","tầm nhìn và tiếng nói"
"Phân biệt đối xử thường được kết hợp với là gì?","tư duy phân biệt chủng tộc"
"Tito đã sử dụng cái gì để đưa mọi người đến đơn vị trong trận chiến chống lại sự chiếm đóng năm 1941?","tờ rơi"
"Các đảng chính trị được bầu trong các nền dân chủ như thế nào?","cử tri"
"Shelby Steele tin rằng khái niệm thực sự của hành động khẳng định là gì?","thực thi cơ hội bình đẳng"
"Một yếu tố của Carnival Peru không được tìm thấy trong bất kỳ lễ kỷ niệm của đất nước khác là gì?","tấn công tình dục phụ nữ"
"Tám bệnh được kiểm tra là gì?","tỷ lệ tử vong"
"Có bao nhiêu thành phần quân đội bị ảnh hưởng bởi Chính sách tổng lực?","ba"
"Vào năm nào, người Anh đã lấy Swaziland làm người bảo hộ?","1903"
"Bản đồ Madaba được tái phát hiện khi nào?","1894"
"Nhà vua đã phủ quyết Dự luật sửa đổi vũ khí và đạn dược vào tháng mấy?","tháng 12"
"Ước tính cao nhất về dân số Ba Lan của thành phố Southampton là gì?","20"
"Bệnh viện tâm thần duy nhất ở Montevideo là gì?","Bệnh viện Vilardebó"
"Theo nguyên tắc nào hầu hết các luật ở Thái Lan quyết định?","royalist"
"Những bộ phận khác có một bộ đồng phục?","găng tay, kiếm và huy chương"
"Đâu là hầu hết các thông tin về Freestyle bị bức hại trong Holocaust nằm ở đâu?","Các hồ sơ được lưu giữ của Reichss Richheitshauptamt (Văn phòng chính An ninh Reich)"
"Điều gì đã xảy ra với dân số vào năm 1880?","đã tăng gấp bốn lần"
"Vùng đất nào được bao gồm trong vương quốc Shu?","Thành Đô ngày nay, vùng đồng bằng và các vùng lãnh thổ lân cận ở phía tây Tứ Xuyên"
"Julius Caesar trở về Rome khi nào?","61 trước Công nguyên"
"Một mạch chuyển đổi đang cố gắng mô phỏng khi bật là gì?","ngắn mạch"
"Từ đó mọi người đã được nhiều khía cạnh của văn hoá La Mã sao chép từ đâu?","Hy Lạp"
"Điều gì đã được thảo luận kể từ khi Cộng hoà Liên bang được thành lập vào năm 1949?","phân định mới lãnh thổ liên bang"
"Năm 1836, ai đã phát minh ra khẩu súng lục ổ quay tự động trong nhà máy sản xuất súng của Eli Whitney?","Samuel Colt"
"Điều gì được coi là trái với niềm tin duy tâm liên quan đến không gian?","các đối tượng tồn tại độc lập với tâm trí"
"Harper Lee qua đời khi nào?","tháng 2 năm 2016"
"Điều gì được đặt ra là nguyên nhân của sản lượng nghệ thuật tăng lên trong thời Phục hưng?","sự sung sướng lớn hơn"
"Điều gì nên được dự đoán vì nhiều yếu tố ảnh hưởng đến mật độ của gỗ?","Biến thể"
"Khi nào Arsenal gia nhập Liên đoàn bóng đá?","1893"
"Một thuật ngữ cho các bệnh hiếm gặp ở một số vùng lãnh thổ là gì?","bệnh mồ côi"
"Có khó khăn để chuyển bản ghi từ lợi ích lịch sử sang các công nghệ mới hơn không?","Bất cứ ai cũng có thể làm điều này"
"Mục tiêu của thử nghiệm đơn vị là gì?","đạt được tích hợp liên tục trong đó các bản cập nhật phần mềm có thể được xuất bản ra công chúng thường xuyên"
"Các dải hấp thụ khí mêtan trên sao Hải Vương ở đâu?","trên 600nm"
"Khi nào các quy định của Liên đoàn khiến Arsenal giảm chỗ ngồi ở Highbury?","1993 mùa94"
"Sự nhượng bộ Gored được thực hiện với vụ đánh bom chiến lược chống lại Anh là gì?","Chỉ thị 23"
"Popper đã viết cho Hayek một lá thư thể hiện món nợ trí tuệ của mình vào năm nào?","1944"
"Hai phương ngữ đã bị cấm từ cuộc sống công cộng?","Alsatian và tiếng Đức tiêu chuẩn"
"Công ty nào đã trình diễn bất hợp pháp một trò chơi Nintendo?","Coleco"
"Ngoài radar và điện toán, phòng không còn muốn khai thác điều gì nữa?","tên lửa dẫn đường"
"Công ty nào đã tạo ra U-2?","Lockheed"
"Có bao nhiêu nhóm người săn bắn hái lượm hiện đại?","Chỉ có một vài"
"Phong trào nào mà nhóm Lizards mắc nợ?","không có sóng"
"Đâu là những cảnh có máy bay được quay?","Palenque"
"Vấn đề của Trung Đông được công bố bởi ai?","Thomas Edward Gordon"
"Ai tuyên bố rằng việc nuôi dạy học sinh dân tộc thiểu số một cách giả tạo có ảnh hưởng tiêu cực đến họ?","Richard Sander"
"Hai dân tộc nào chiếm đa số trong Quân đội Banner?","Manchu và Mongol"
"Cùng với Hoa Kỳ, Vương quốc Anh và Pháp, ai đã thành lập SEATO?","New Zealand và Úc"
"Một ngôi đền mới dành riêng cho Núi Alban là của ai?","Jupiter Latiaris"
"Đâu là nơi mà chất thải rắn của Hyderabad được đổ?","Jawaharnagar"
"Cuộc tấn công đã xảy ra ở đâu?","giải tán dữ dội trước sân vận động Druzhba"
"Trang web nào đã chạy một cuộc khảo sát để tìm hiểu tần suất iPod ngừng hoạt động?","MacInTouch"
"Nhóm ngôn ngữ Đức nào bao gồm tiếng Hà Lan, tiếng Anh và tiếng Đức?","Tây Germanic"
"Thời kỳ nào theo triều đại nhà Hán?","Tam quốc"
"Bài hát nào khác từ nhạc phim đã làm tốt hơn trong các bảng xếp hạng?","Summertime"
